file,extension,path,lang_event_dialog_0,lang_event_dialog_1,lang_event_dialog_2,lang_event_dialog_3,lang_event_dialog_4,lang_event_dialog_5,lang_event_dialog_6,lang_event_dialog_7,lang_event_dialog_8,lang_event_dialog_9,lang_event_choice_1,lang_event_choice_2,lang_event_dialog_10,lang_event_dialog_11,lang_event_dialog_6a,lang_event_dialog_12,lang_event_dialog_13,lang_event_dialog_14,lang_event_dialog_15,lang_event_dialog_16,lang_event_dialog_17,lang_event_dialog_18,lang_event_dialog_19,lang_event_choice_3,lang_event_choice_4,lang_event_choice_5
rosemarygossip,.lang,events\lang\english\rosemarygossip.lang,"[happy]Oh, that reminds me! Did I tell you the juicy new details I heard about what's really in that medicine that #npc_name_krampy# creates?///[playful]Oh my gosh, it's such a good story!","[sad]Listen, that's great and all, but I really do need to get back to hunting...","[playful]Oh, that's not a problem! I'll come with you. I'll tell you all about it on the way.","[sad]At least lower your voice, #npc_name_rosemary#. You're scaring away... everything, really.",[happy]Ah! #player_name#! I was looking everywhere for you.///[neutral]I just learned a very intruiging new detail about the medicines that #npc_name_krampy# has been using.///[happy]I simply [b]must[/b] tell [b]somebody[/b] about it!,"[happy]Oh, wonderful! Ok, so you know #npc_name_krampy#, right? The doctor?","[playful][b]WELL,[/b] I heard #npc_name_coco# talking to #npc_name_krampy# about a medication that #npc_name_krampy# has been using to treat the common cold.",[happy]Turns out the entire time... #npc_name_krampy# has been mixing #item_name_honeycomb# with #item_name_goldenseal_good# and calling it a 'miracle cure!' Can you believe that?,"[playful]Pretty suspicious, huh? What do you think about that, #npc_name_phantom#?","[neutral]...#npc_name_phantom#? Huh, I wonder where they ran off to...","Sure, I'll listen.",No thanks!,"[happy]Oh, you're on an important errand, huh? That's fine, I'll just tell what I know to #npc_name_phantom#. Good luck out there, #player_name#!",[sad]Oh no... Here we go again...,,,,,,,,,,,,
shopintroduction,.lang,events\lang\english\shopintroduction.lang,[thinking]Hey #npc_name_ember#! I found this #item_name_peppermint_fair# and I was wondering how much I could sell it for?,[neutral]Hello #npc_name_jag#. I can offer you 5 [yellow]Mews[/yellow] for that.///[thinking]Have you ever tried rubbing some #item_name_peppermint_fair# in your fur? I've heard it can mask your scent and make it easier to hunt.,"[playful]Wait, I can use this #item_name_peppermint_fair# to make it easier to catch prey? Wow, I hadn't thought of that!///[happy]Maybe I'll keep it. Might try to track down a #item_name_rabbit# later.///[shocked]I'm getting hungry just thinking about it!","[happy]You know, I sell #item_name_peppermint_fair# here at the shop. Are you interested in purchasing some extra?///[playful]After all, a #item_name_rabbit# can be pretty tricky, so you might as well make sure you're fully prepared!",[shocked]You're right! I better make sure I'm ready before I leave town to hunt.///[happy]I'll take three.,[happy]That's great! Good doing business with you.///[playful]Another happy customer!,"[neutral]Oh look, it's #player_name#! Welcome to my shop.///[thinking]I have lots of [orange]useful items for sale[/orange]. Feel free to browse anytime by speaking with me.///[playful]You can also speak with me to [orange]sell your extra items[/orange] for some [yellow]Mews[/yellow]. I'll buy just about anything you don't need!///[happy]Well, have a look around, and let me know if you have any questions. I'm always happy to help!",,,,,,,,,,,,,,,,,,,
sparkandlainey1,.lang,events\lang\english\sparkandlainey1.lang,[angry]#npc_name_spark#! Where have you been? Your shift started hours ago.///[sad]I cannot run this shop without you. I have been running around all day doing everything. My back is killing me. My paws are sore.///[angry]There had better be a good explanation for this!,[shocked]I-- I--...,[angry]I don't want to hear it! I have sacrificed too much for us. All I am asking is for you to work one shift. A single shift! Then I can have a break.///[thinking]But you are always running around. You're so unreliable. You act just like your... just like your...,"[angry]...What? I dare you to finish that sentence.///[sad]Besides, I was just out with my friends. They needed help with something. We were staying out of trouble, promise.///[angry]Do you not want me to have any friends? Is that it?","[thinking]You were out with #npc_name_fliss# and #npc_name_lainey# again, weren't you? Bad influences.","[neutral]Oh look, it's #player_name#. Good, another responsible cat.///[shocked]Kids don't like to listen to their parents. Maybe you can talk some sense into #npc_name_spark#.","[angry]Ok, fine. I should have been here on time. You happy now??","[sad]You know what... I'm sorry. I shouldn't have been so harsh with you, #npc_name_spark#.///[neutral]I would appreciate it if you'd show up on time from now on. But I didn't need to snap at you like that. I apologize. I'll try to do better.","[sad]What ever am I going to do with that child of mine..?///[thinking]I really shouldn't have snapped at #npc_name_spark# like that. I better go apologize.///[neutral]Sorry you had to see that, #player_name#.","[sad]It's alright. I forgive you. I got a little heated there too. My bad.///[neutral]Next time I'll do a better job at keeping an eye on the clock so I'm not late.///[thinking]I know how hard you work, #npc_name_ember#, and I appreciate it.",Work comes first.,Friends come first.,,,,,,,,,,,,,,
sparkandlainey2,.lang,events\lang\english\sparkandlainey2.lang,"[playful][gray]Psssssssttt!! #player_name#! It's me, #npc_name_lainey#.///[happy]Come here! Fast! Hide with me![/gray]","[playful]Where are we going, #npc_name_lainey#?","[playful]Just past that bush, #npc_name_spark#. I swear I saw a golden [green]Mouse[/green] this way!","[shocked]Are you sure, #npc_name_lainey#? You've been acting kinda weird all day.","[thinking]I'm sure. Now come on, we're almost there!","[happy][gray]Get ready, here they come!![/gray]",[thinking]Hmm... I don't see a golden [green]Mouse[/green]...,[playful][gray]3... 2... 1...[/gray],[playful][scary][b]BOO!!!!!!!![/b][/scary],[shocked]Waaah! #npc_name_fliss#! #npc_name_lainey#! #player_name#! Wait? What??,,,"[happy]Haha, you should have seen the look on your face! We haven't done that in years!","[happy]By the way, #npc_name_spark#, I'm #npc_name_lainey#. You have been hanging out with #npc_name_fliss# all day. We got you twice!",,"[playful]What? Really? Wow, you two are really good pranksters, huh? I could really learn some tricks from you both.///[happy]#npc_name_fliss#, you're really good at impersonating #npc_name_lainey#. You must do that a lot. I had no idea!","[happy]I'm just glad you didn't get mad at us, #npc_name_spark#. Thanks for being a good sport.///[thinking]We tried pulling a prank on #npc_name_jag# once and that went about as well as you might expect...","[playful]It was a funny prank. Good job, both of you. Maybe next time I can get in on the joke?","[neutral]Well, I've had my fun. You two can go ahead and hang out now. I'll leave you to it.",[happy]Great! Maybe the real #npc_name_lainey# and I can track down that golden [green]Mouse[/green].,"[blushing]#npc_name_spark#... you know I made that up, right?",,,,,
sparkandlainey3,.lang,events\lang\english\sparkandlainey3.lang,"[playful]I am here to work! You can go ahead and take a couple hours for yourself, #npc_name_ember#. I've got it.","[shocked]#npc_name_spark#, you're not even scheduled to work today. Are you sure?",[happy]Absolutely! You deserve an extra break every once and a while. Go have fun or eat a meal or something. I can take it from here!,[happy]That means a lot #npc_name_spark#. I think I'll go out and enjoy this sunny day. Thank you.///[playful]I'll be back in an hour to check up on things.,"[blushing]That was really sweet of you, #npc_name_spark#. I am sure #npc_name_ember# really appreciated that.","[playful]#npc_name_ember# does a ton for me. This is the least I can do, really. It took a lot of sacrifices to raise me.",[thinking]I understand. I was raised by a single parent as well.,[shocked]Really? I did not know that.,"[neutral]Yeah, #npc_name_fliss# and I don't talk about it often. My mother was abandoned before we were born.///[thinking]There were seven of us, so it was a big family. Lots of mouths to feed. Must have been hard for my mother.///[sad]When we lost her... I didn't know what we were going to do.///[thinking]#npc_name_fliss# sort of started to raise me from that point on. Even though we're the same age, I was the smallest of my litter.///[neutral]I don't know what I would do without #npc_name_fliss#.","[thinking]I am so sorry that happened, #npc_name_lainey#. No one should ever be abandoned like that.///[neutral]I'm glad you have #npc_name_fliss# in your life. It sounds like your mother was incredible.",,,[happy]That's why it means so much when you help take care of #npc_name_ember#! You never know what could happen.,"[neutral]You're right. I hadn't thought about it that way before. I need to take care of my family.///[happy]Thank you for sharing with me, #npc_name_lainey#. You've given me a lot to think about today.",,,,,,,,,,,,
unidentifiedthreat,.lang,events\lang\english\unidentifiedthreat.lang,[thinking]I found it just past the borders. I have no idea what it is.///[shocked]It could possibly be a threat to #colony_full_name_with_article#. Should we dispose of it?,[thinking]I have never seen anything like this before. Perhaps we should show it to the #npc_name_theforestguardian#.,[neutral]I already have. The #npc_name_theforestguardian# was uninterested.,"[neutral]Perfect timing, #player_name#. #npc_name_jag# found this odd object while scouting our #colony_title# borders. Do you know what it is?","[shocked]Then there's no time to lose! We must dispose of it this instant.///[thinking]#player_name#, take this strange object and get rid of it.///[neutral]#colony_full_name_capitalized_with_article# will be safe once more thanks to your valiant efforts.",[shocked]We applaud your bravery!,"[shocked]It's... perfectly safe? And worth a lot of [yellow]Mews[/yellow]?///[thinking]Hmmm... Well, in that case...///[happy]I found it first! I'll take it to the store to get it appraised. Thank you for sharing your knowledge, #player_name#.","[happy]Congratulations, #npc_name_jag#. You'll have to keep an eye out for more of those as you wander the borders in the future.",,,It's dangerous! I'll take it.,It's safe and very valuable!,,,,,,,,,,,,,,
volcanicexperiment,.lang,events\lang\english\volcanicexperiment.lang,[happy]We're almost there! Soon I will have all the data I need from this experiment.,"[shocked]Woah, is that lava??","[playful]Yes! Isn't it wonderful?///[neutral]Come with me, we must get closer.","[angry]#npc_name_krampy#, when I volunteered to help, I didn't expect science to be so... dangerous.","[happy]Dangerous? What, you've never heated a beaker full of chemicals over a boiling lake of lava on the side of an active volcano before?","[shocked]No, I can't say that I have.///[blushing]Actually, I'm going to go home now. Good luck, #npc_name_krampy#!",[sad]It is becoming ever so difficult to find a quality lab assistant these days.///[happy]No matter. The experiment must go on!,,,,,,,,,,,,,,,,,,,
winterfun,.lang,events\lang\english\winterfun.lang,"[happy]Oh, this is so much fun! I've already caught five big snowflakes on my tongue.",[playful]Such delightful revelry! Perhaps we should start a snowball fight next?,"[shocked]Erm... Well, you see, I'd rather not mess up my fur.///[neutral]I have an important meeting in an hour.","[playful]Ok, what if instead we built a big [light blue]snow-cat[/light blue]?","[playful]That's an awesome idea, #npc_name_buttercup#! Let's go find the perfect spot to build it.",[playful]Last one there is a rotten robin egg!,,,,,,,,,,,,,,,,,,,,
zephyrfame,.lang,events\lang\english\zephyrfame.lang,[shocked]Is that... Is that really #npc_name_zephyr#? I can't believe it! I'm such a huge fan!!,[blushing]Do you think #npc_name_zephyr# would sign my paw? I'm going to ask!,"[happy]Ah, there is no need to shove, everyone will get a chance to speak with the incomparable #npc_name_zephyr#! I make time for all of my adoring fans.///[playful]You cannot help it if you find yourself drawn to such perfection. I understand!","[happy]And what is this? Even the mighty #player_name# cannot resist my allure, it would seem.///[playful]Make way, make way!","[thinking]Did you perhaps bring something for me to sign, #player_name#?","[happy]Wonderful! Here you are, then. Just what you were looking for!","[playful]One of the many perks of being #leader_title_with_article#. You get to skip the line!///[thinking]I am glad you came to join the party. Are there any two cats as famous and fabulous as the two of us?///[happy]Now you must excuse me, I must give the rest of my fans a portion of my time. Do come and see me again, however. I will always make time for you, #player_name#.","[shocked]Ah, I see! Even the best of intentions sometimes go awry.///[playful]Not to worry, for I have brought a spare scrap of paper for just such an occasion! After all, I cannot let #leader_title_with_article# go home empty-handed, now can I?///[happy]You can thank me later.","[happy]Keep that somewhere special, #player_name#. Perhaps by your bedside in your den? Yes, that would do.///[playful]Now then, I must return to the rest of my fans. Please excuse me.",[sad]What... But surely you have heard of me?,"Yes, here it is!",I forgot it at home...,"[neutral]Ah, that is good. I understand if you have important business to attend to. You are #leader_title_with_article#, after all.///[playful]I trust you will stop by some other time when you have less to worry about. I believe we will be well-acquainted in due time. Two cats of our prominent kind must stick together, yes?///[happy]Now then, you go about your business, and I will return my attention to my adoring fans. Until we meet again, #player_name#.","[angry]Surely you cannot be serious. Are you pulling my leg??///[sad]It is not often that I encounter a cat with such poor manners, #player_name#. I had thought better of you.///[thinking]In time you will come to know exactly who I am and why I have acquired so many passionate fans. It will not take long, I assure you.///[sad]Now then, go about your business! I must return to being pampered and adored. Until we meet again.",,,,,,,,,,"No, just passing through.","Yes, I have!",Never heard of you.
zephyrhero,.lang,events\lang\english\zephyrhero.lang,[shocked]Can it be? Do my eyes deceive me?,"[angry]Listen here, I don't know what you're on about, but I don't want any nonsense. Do I make myself clear?","[blushing]No no, my friend! You misunderstand me!",[thinking]Do I? I know all about you. And I know what you're about.///[angry]Don't waste my time.,"[shocked]But... I know all about you, too!///[thinking]Before there was #npc_name_zephyr# the Magnificent there was #npc_name_talon# the Unassailable.///[happy]Glorious in battle! First to the fight! Your enemies would quake at the mere rumor of your name!///[blushing]I confess... When I was a younger cat I was quite an admirer of your work.",[neutral]It's been a long time since anyone has called me that.///[sad]Now you see what has become of me.,"[neutral]My friend, there is strength left in you yet. You are no less my hero now than you were back then.///[happy]Our proud #colony_title# is made all the better by your presence here.",[thinking]Maybe I judged you too harshly...,,,,,,,,,,,,,,,,,,
