file,extension,path,item_uid_do_not_translate,lang_item_name,lang_item_definite_article,lang_item_indefinite_article,lang_item_demonstrative_article,lang_item_description
honeycombitem,.lang,items\lang\english\honeycombitem.lang,Honeycomb,Honeycomb,the,a,this,A sugary treat taken from a hive of angry bees. The honey inside provides immunity from all negative status effects for a short time.
hornsaccessoryitem,.lang,items\lang\english\hornsaccessoryitem.lang,Horns Accessory,Horns,the,a,these,Mind the pointy ends!
inkycurioitem,.lang,items\lang\english\inkycurioitem.lang,Inky Curio,Inky Curio,the,an,this,A dark plastic stick that makes a satisfying clicking noise.
inventoryupgradeiiiitem,.lang,items\lang\english\inventoryupgradeiiiitem.lang,Inventory Upgrade III,Voluminous Pockets,the,a,this,Items will now stack up to a maximum of 9 in each of your inventory slots.
inventoryupgradeiiitem,.lang,items\lang\english\inventoryupgradeiiitem.lang,Inventory Upgrade II,Roomy Pockets,the,a,this,Items will now stack up to a maximum of 7 in each of your inventory slots.
inventoryupgradeiitem,.lang,items\lang\english\inventoryupgradeiitem.lang,Inventory Upgrade I,Modest Pockets,the,a,this,Items will now stack up to a maximum of 5 in each of your inventory slots.
ironoreitem,.lang,items\lang\english\ironoreitem.lang,Iron Ore,Iron Ore,the,an,this,A chunk of stone with a visible streak of iron ore.
jarofleechesfurnitureitem,.lang,items\lang\english\jarofleechesfurnitureitem.lang,Jar Of Leeches Furniture,Jar of Leeches,the,a,this,A glass jar filled with writhing leeches. Who would keep something like this in their home?
jinglycurioitem,.lang,items\lang\english\jinglycurioitem.lang,Jingly Curio,Jingly Curio,the,a,this,"Tiny metal coins, worthless to cats except as a curiosity."
knittedsweateraccessoryitem,.lang,items\lang\english\knittedsweateraccessoryitem.lang,Knitted Sweater Accessory,Knitted Sweater,the,a,this,A comfortable red sweater.
lavenderfairitem,.lang,items\lang\english\lavenderfairitem.lang,Lavender [Fair],Lavender,the,a,this,A fragrant bunch of purple flowers. Use to gain a small amount of influence in a region.
lavendergooditem,.lang,items\lang\english\lavendergooditem.lang,Lavender [Good],Lavender,the,a,this,An aromatic bunch of purple flowers. Use to gain a small amount of influence in a region.
lavenderpooritem,.lang,items\lang\english\lavenderpooritem.lang,Lavender [Poor],Lavender,the,a,this,A pleasant bunch of purple flowers. Use to gain a small amount of influence in a region.
lavenderseedsitem,.lang,items\lang\english\lavenderseedsitem.lang,Lavender Seeds,Lavender Seeds,the,a,these,Little purple seeds yielded from a lavender plant. Sow these in the garden and watch them grow!
lavenderseedsrecipeitem,.lang,items\lang\english\lavenderseedsrecipeitem.lang,Lavender Seeds Recipe,Lavender Seeds Recipe,the,a,this,Grow lavender in your garden with these seeds! Lavender can be used to gain power in a region quickly.
licoricefairitem,.lang,items\lang\english\licoricefairitem.lang,Licorice [Fair],Licorice,the,a,this,The roots of this plant may be chewed on for a quick bite.
licoricegooditem,.lang,items\lang\english\licoricegooditem.lang,Licorice [Good],Licorice,the,a,this,The roots of this plant may be chewed on for hunger relief.
licoricepooritem,.lang,items\lang\english\licoricepooritem.lang,Licorice [Poor],Licorice,the,a,this,The roots of this plant may be chewed on for some light refreshment.
licoriceseedsitem,.lang,items\lang\english\licoriceseedsitem.lang,Licorice Seeds,Licorice Seeds,the,a,these,Small yellow-striped seeds yielded from a licorice plant. Sow these in the garden and watch them grow!
licoriceseedsrecipeitem,.lang,items\lang\english\licoriceseedsrecipeitem.lang,Licorice Seeds Recipe,Licorice Seeds Recipe,the,a,this,Grow licorice in your garden with these seeds! Licorice roots can be eaten for a quick snack.
litterboxfurnitureitem,.lang,items\lang\english\litterboxfurnitureitem.lang,Litter Box Furniture,Litter Box,the,a,this,"Not a very glamorous piece of decor, but practical nonetheless."
lizarditem,.lang,items\lang\english\lizarditem.lang,Lizard,Lizard,the,a,this,"A slender, slimy creature. Doesn't look very appetizing."
longcurioitem,.lang,items\lang\english\longcurioitem.lang,Long Curio,Long Curio,the,a,this,A lightweight stick with a tiny bit of cotton glued to either end.
lunarbutterflyitem,.lang,items\lang\english\lunarbutterflyitem.lang,Lunar Butterfly,Lunar Butterfly,the,a,this,This fabled insect has translucent skin and emits a curious pale light.
lurkeritem,.lang,items\lang\english\lurkeritem.lang,Lurker,Lurker,the,a,this,A sneaky spirit that has a habit of turning invisible when you least expect it. Watch your back!
mackerelitem,.lang,items\lang\english\mackerelitem.lang,Mackerel,Mackerel,the,a,this,A silver-scaled saltwater fish. Its reflective body gleams brightly in the sunlight.
magichataccessoryitem,.lang,items\lang\english\magichataccessoryitem.lang,Magic Hat Accessory,Magic Hat,the,a,this,Some say that this hat was once worn by a powerful mage.
magnetupgradeiiiitem,.lang,items\lang\english\magnetupgradeiiiitem.lang,Magnet Upgrade III,Greedy Paw Upgrade III,the,a,this,"Greatly strengthens your Greedy Paw accessory, increasing the range of its magnetic item-grabbing ability. Requires Greedy Paw accessory."
magnetupgradeiiitem,.lang,items\lang\english\magnetupgradeiiitem.lang,Magnet Upgrade II,Greedy Paw Upgrade II,the,a,this,"Moderately strengthens your Greedy Paw accessory, increasing the range of its magnetic item-grabbing ability. Requires Greedy Paw accessory."
magnetupgradeiitem,.lang,items\lang\english\magnetupgradeiitem.lang,Magnet Upgrade I,Greedy Paw Upgrade I,the,a,this,"Slightly strengthens your Greedy Paw accessory, increasing the range of its magnetic item-grabbing ability. Requires Greedy Paw accessory."
magnetupgraderecipeitem,.lang,items\lang\english\magnetupgraderecipeitem.lang,Magnet Upgrade Recipe,Greedy Paw Upgrade,the,a,this,"Strengthens your Greedy Paw accessory, increasing the range of its magnetic item-grabbing ability."
magpieitem,.lang,items\lang\english\magpieitem.lang,Magpie,Magpie,the,a,this,A smart little bird with patches of black and white.
malachiteitem,.lang,items\lang\english\malachiteitem.lang,Malachite,Malachite,the,a,this,A coppery-green gemstone with a beautiful banded pattern.
marbletilefurnitureitem,.lang,items\lang\english\marbletilefurnitureitem.lang,Marble Tile Furniture,Marble Tile,the,a,this,Marble cut and laid into a herringbone pattern for an elegant look.
marigoldfairitem,.lang,items\lang\english\marigoldfairitem.lang,Marigold [Fair],Marigold,the,a,this,A vibrant orange flower atop a green stem. Treats poison and restores a small amount of health.
marigoldgooditem,.lang,items\lang\english\marigoldgooditem.lang,Marigold [Good],Marigold,the,a,this,A vibrant orange flower atop a sturdy stem. Treats poison and restores a small amount of health.
marigoldpooritem,.lang,items\lang\english\marigoldpooritem.lang,Marigold [Poor],Marigold,the,a,this,A vibrant orange flower atop a withered stem. Treats poison instantly.
marigoldseedsitem,.lang,items\lang\english\marigoldseedsitem.lang,Marigold Seeds,Marigold Seeds,the,a,these,"Long, thin seeds yielded from a marigold plant. Sow these in the garden and watch them grow!"
marigoldseedsrecipeitem,.lang,items\lang\english\marigoldseedsrecipeitem.lang,Marigold Seeds Recipe,Marigold Seeds Recipe,the,a,this,Grow marigold flowers in your garden with these seeds! Marigold plants are well-known for their curative properties.
markedcurioitem,.lang,items\lang\english\markedcurioitem.lang,Marked Curio,Marked Curio,the,a,this,A scrap of some unknown document.
masonrykititem,.lang,items\lang\english\masonrykititem.lang,Masonry Kit,Masonry Kit,the,a,this,A bundle of tools and materials for stonework. Can be used to repair a broken staircase in the mines.
masonrykitrecipeitem,.lang,items\lang\english\masonrykitrecipeitem.lang,Masonry Kit Recipe,Masonry Kit Recipe,the,a,this,Create a handy masonry kit. Useful if you run into a staircase that has fallen into disrepair while mining!
metalcurioitem,.lang,items\lang\english\metalcurioitem.lang,Metal Curio,Metal Curio,the,a,this,"A long, twisting piece of thin aluminum."
minnowitem,.lang,items\lang\english\minnowitem.lang,Minnow,Minnow,the,a,this,A very small schooling fish from a freshwater river or pond.
molefurnacefurnitureitem,.lang,items\lang\english\molefurnacefurnitureitem.lang,Mole Furnace Furniture,Mole Furnace,the,a,this,"A stone brick furnace with a Mole-shaped crest, perfect for heating metal."
morelitem,.lang,items\lang\english\morelitem.lang,Morel,Morel,the,a,this,A wrinkly mushroom with greater healing properties.
mouseitem,.lang,items\lang\english\mouseitem.lang,Mouse,Mouse,the,a,this,A tasty mouse. Mind the whiskers!
mugfurnitureitem,.lang,items\lang\english\mugfurnitureitem.lang,Mug Furniture,Mug,the,a,this,A ceramic mug made for human hands. Wouldn't it be fun to push it off a table?
murkitem,.lang,items\lang\english\murkitem.lang,Murk,Murk,the,a,this,"A dark creature that takes the form of a giant, shadowy mole. Found in the mines. It does not like intruders."
mushroombundleitem,.lang,items\lang\english\mushroombundleitem.lang,Mushroom Bundle,Mushroom Bundle,the,a,this,Stylish mushroom decor!
mushroomsaladitem,.lang,items\lang\english\mushroomsaladitem.lang,Mushroom Salad,Mushroom Salad,the,a,this,Several kinds of mushrooms tossed together with leafy salad greens. A very filling meal!
mushroomsaladrecipeitem,.lang,items\lang\english\mushroomsaladrecipeitem.lang,Mushroom Salad Recipe,Mushroom Salad Recipe,the,a,this,Several kinds of mushrooms tossed together with leafy salad greens. A very filling meal!
mysteryseedsitem,.lang,items\lang\english\mysteryseedsitem.lang,Mystery Seeds,Mystery Seeds,the,a,these,An assortment of various seeds that you cannot identify. Sow these in the garden and see what grows!
mysteryseedsrecipeitem,.lang,items\lang\english\mysteryseedsrecipeitem.lang,Mystery Seeds Recipe,Mystery Seeds Recipe,the,a,this,Who knows what plants will sprout up from these eclectic seeds?
naturalstonetilefurnitureitem,.lang,items\lang\english\naturalstonetilefurnitureitem.lang,Natural Stone Tile Furniture,Natural Stone Tile,the,a,this,Large natural stones taken from a river and expertly laid in an organic pattern.
northernemeralditem,.lang,items\lang\english\northernemeralditem.lang,Northern Emerald,Northern Emerald,the,a,this,A brilliant creature that reflects light in stunning iridescent patterns!
paintedbutterflyitem,.lang,items\lang\english\paintedbutterflyitem.lang,Painted Butterfly,Painted Butterfly,the,a,this,A winged insect with a vibrant red hue.
peppermintfairitem,.lang,items\lang\english\peppermintfairitem.lang,Peppermint [Fair],Peppermint,the,a,this,"This sharp-smelling leaf can mask the scent of a cat, so that tracking prey will be easier for a time."
peppermintgooditem,.lang,items\lang\english\peppermintgooditem.lang,Peppermint [Good],Peppermint,the,a,this,"This sweet-smelling leaf can mask the scent of a cat, so that tracking prey will be easier for a time."
peppermintpooritem,.lang,items\lang\english\peppermintpooritem.lang,Peppermint [Poor],Peppermint,the,a,this,"This strange-smelling leaf can mask the scent of a cat, so that tracking prey will be easier for a time."
peppermintseedsitem,.lang,items\lang\english\peppermintseedsitem.lang,Peppermint Seeds,Peppermint Seeds,the,a,these,Small black seeds yielded from a peppermint plant. Sow these in the garden and watch them grow!
peppermintseedsrecipeitem,.lang,items\lang\english\peppermintseedsrecipeitem.lang,Peppermint Seeds Recipe,Peppermint Seeds Recipe,the,a,this,Grow peppermint in your garden with these seeds! Peppermint's strong scent can mask a cat's natural odor.
petbataccessoryitem,.lang,items\lang\english\petbataccessoryitem.lang,Pet Bat Accessory,Pet Bat,the,a,this,An eerie bat that will follow you around!
petbeeaccessoryitem,.lang,items\lang\english\petbeeaccessoryitem.lang,Pet Bee Accessory,Pet Bee,the,a,this,A kind-hearted bee that will follow you around!
petbeetleaccessoryitem,.lang,items\lang\english\petbeetleaccessoryitem.lang,Pet Beetle Accessory,Pet Beetle,the,a,this,A cheery blue beetle that will follow you around!
petbutterflyaccessoryitem,.lang,items\lang\english\petbutterflyaccessoryitem.lang,Pet Butterfly Accessory,Pet Butterfly,the,a,this,A colorful butterfly that will follow you around!
petcrabaccessoryitem,.lang,items\lang\english\petcrabaccessoryitem.lang,Pet Crab Accessory,Pet Crab,the,a,this,A crabby little fellow that will follow you around!
petdragonflyaccessoryitem,.lang,items\lang\english\petdragonflyaccessoryitem.lang,Pet Dragonfly Accessory,Pet Dragonfly,the,a,this,A slender navy dragonfly that will follow you around!
petfireflyaccessoryitem,.lang,items\lang\english\petfireflyaccessoryitem.lang,Pet Firefly Accessory,Pet Firefly,the,a,this,A glowing yellow firefly that will follow you around!
petghostaccessoryitem,.lang,items\lang\english\petghostaccessoryitem.lang,Pet Ghost Accessory,Pet Ghost,the,a,this,A creepy spirit that will haunt your every step!
petladybugaccessoryitem,.lang,items\lang\english\petladybugaccessoryitem.lang,Pet Ladybug Accessory,Pet Ladybug,the,a,this,A cute red ladybug that will follow you around!
petmolbertaccessory,.lang,items\lang\english\petmolbertaccessory.lang,Pet Molbert Accessory,Pet Molbert,the,a,this,A cantankerous little mole with an excellent nose. Is that Diamonds I smell..?
petmothaccessoryitem,.lang,items\lang\english\petmothaccessoryitem.lang,Pet Moth Accessory,Pet Moth,the,a,this,A flittering brown moth that will follow you around!
petrainbowfireflyaccessoryitem,.lang,items\lang\english\petrainbowfireflyaccessoryitem.lang,Pet Rainbow Firefly Accessory,Pet Rainbow Firefly,the,a,this,"A dazzling, mythical firefly that glows with every color of the rainbow. Legend has it that a Rainbow Firefly lit the first stars in the ancient days."
petrataccessoryitem,.lang,items\lang\english\petrataccessoryitem.lang,Pet Rat Accessory,Pet Rat,the,a,this,An large rodent that will follow you around!
petrockdebrisaccessoryitem,.lang,items\lang\english\petrockdebrisaccessoryitem.lang,Pet Rock Debris Accessory,Pet Rock Debris,the,a,this,"An ordinary rock. You shouldn't expect much from it. Wait a second, did it just move..?"
petspideraccessoryitem,.lang,items\lang\english\petspideraccessoryitem.lang,Pet Spider Accessory,Pet Spider,the,a,this,A terrifying purple spider that will follow you around!
petturtleaccessoryitem,.lang,items\lang\english\petturtleaccessoryitem.lang,Pet Turtle Accessory,Pet Turtle,the,a,this,A friendly little turtle that will follow you around!
petwolfspideraccessoryitem,.lang,items\lang\english\petwolfspideraccessoryitem.lang,Pet Wolf Spider Accessory,Pet Wolf Spider,the,a,this,A dreadful orange spider that will follow you around!
pickaxefurnitureitem,.lang,items\lang\english\pickaxefurnitureitem.lang,Pickaxe Furniture,Pickaxe,the,a,this,A heavy digging implement to proudly display on your wall. It looks shiny and new!
pigeonitem,.lang,items\lang\english\pigeonitem.lang,Pigeon,Pigeon,the,a,this,A medium-sized bird with blue-tinted feathers.
pikeitem,.lang,items\lang\english\pikeitem.lang,Pike,Pike,the,a,this,A huge light yellow fish. Found in freshwater environments.
pitlodeitem,.lang,items\lang\english\pitlodeitem.lang,Pitlode,Pitlode,the,a,this,A small precious stone with a curious dark pattern.
plantfooditem,.lang,items\lang\english\plantfooditem.lang,Plant Food,Plant Food,the,a,this,Ideal nourishment for a growing plant. Apply daily to every plant in your garden and you will grow high-quality herbs! Consumed on use.
plantfoodrecipeitem,.lang,items\lang\english\plantfoodrecipeitem.lang,Plant Food Recipe,Plant Food Recipe,the,a,this,Keep your herb garden well fed with this plant food!
plasticcurioitem,.lang,items\lang\english\plasticcurioitem.lang,Plastic Curio,Plastic Curio,the,a,this,A ring of brightly-colored plastic with spiky bits on the inside.
platinumoreitem,.lang,items\lang\english\platinumoreitem.lang,Platinum Ore,Platinum Ore,the,a,this,"Unrefined platinum, a valuable mineral found only in certain caves."
plushrugfurnitureitem,.lang,items\lang\english\plushrugfurnitureitem.lang,Plush Rug Furniture,Plush Rug,the,a,this,A small floor rug composed of thick pink fibers that feel very soft on the paws.
pointycurioitem,.lang,items\lang\english\pointycurioitem.lang,Pointy Curio,Pointy Curio,the,a,this,A thin yellow stick with a pointed tip.
polishedstoneitem,.lang,items\lang\english\polishedstoneitem.lang,Polished Stone,Polished Stone,the,a,this,"A perfectly spherical stone, rounded and sanded until its smooth surface shines. This item may be donated to your stone stockpile."
polishedstonerecipeitem,.lang,items\lang\english\polishedstonerecipeitem.lang,Polished Stone Recipe,Polished Stone Recipe,the,a,this,"A perfectly spherical stone, rounded and sanded until its smooth surface shines. This item may be donated to your stone stockpile."
portobelloitem,.lang,items\lang\english\portobelloitem.lang,Portobello,Portobello,the,a,this,A wholesome brown mushroom. Makes for a filling snack.
pouffurnitureitem,.lang,items\lang\english\pouffurnitureitem.lang,Pouf Furniture,Pouf,the,a,this,A soft oval stool made of chunky knit fabric.
powerpawblueitem,.lang,items\lang\english\powerpawblueitem.lang,Power Paw Blue,Power Paw (Blue),the,a,this,"An ancient token made from a shining blue metal. According to legend, it can make you more resilient to hunger."
powerpawgreenitem,.lang,items\lang\english\powerpawgreenitem.lang,Power Paw Green,Power Paw (Green),the,a,this,"An ancient token made from a shining green metal. According to legend, it can increase your luck."
powerpawpurpleitem,.lang,items\lang\english\powerpawpurpleitem.lang,Power Paw Purple,Power Paw (Purple),the,a,this,"An ancient token made from a shining purple metal. According to legend, it can improve your social grace."
powerpawrainbowitem,.lang,items\lang\english\powerpawrainbowitem.lang,Power Paw Rainbow,Power Paw (Rainbow),the,a,this,"An ancient token made from a shining rainbow metal. According to legend, it can improve your fighting prowess."
powerpawreditem,.lang,items\lang\english\powerpawreditem.lang,Power Paw Red,Power Paw (Red),the,a,this,"An ancient token made from a shining red metal. According to legend, it can increase your vitality."
powerpawyellowitem,.lang,items\lang\english\powerpawyellowitem.lang,Power Paw Yellow,Power Paw (Yellow),the,a,this,"An ancient token made from a shining yellow metal. According to legend, it can make you faster."
prowleritem,.lang,items\lang\english\prowleritem.lang,Prowler,Prowler,the,a,this,A creepy-crawler with a nasty bite. Often encountered in swarms.
quartzitem,.lang,items\lang\english\quartzitem.lang,Quartz,Quartz,the,a,this,A formation of light-pink translucent crystals.
queenofthenightitem,.lang,items\lang\english\queenofthenightitem.lang,Queen of the Night,Queen of the Night,the,a,this,A mysterious flower that only blooms at night.
queenofthenightseedsitem,.lang,items\lang\english\queenofthenightseedsitem.lang,Queen of the Night Seeds,Queen Seeds,the,a,this,A large bulb yielded from a Queen of the Night plant. Sow this in the garden and watch it grow!
queenofthenightseedsrecipeitem,.lang,items\lang\english\queenofthenightseedsrecipeitem.lang,Queen of the Night Seeds Recipe,Queen Seeds Recipe,the,a,this,Grow Queen of the Night flowers in your garden with these seeds! These beautiful flowers are delicate and beautiful to behold.
rabbititem,.lang,items\lang\english\rabbititem.lang,Rabbit,Rabbit,the,a,this,A plump rabbit. Would make for a filling meal.
raspberriesfairitem,.lang,items\lang\english\raspberriesfairitem.lang,Raspberries [Fair],Raspberries,the,a,these,Appealing red berries that pop with a splash of sweet flavor.
raspberriesgooditem,.lang,items\lang\english\raspberriesgooditem.lang,Raspberries [Good],Raspberries,the,a,these,Alluring red berries that pop with a splash of sweet flavor.
raspberriespooritem,.lang,items\lang\english\raspberriespooritem.lang,Raspberries [Poor],Raspberries,the,a,these,Modest red berries that pop with a splash of sweet flavor.
raspberriesseedsitem,.lang,items\lang\english\raspberriesseedsitem.lang,Raspberries Seeds,Raspberry Seeds,the,a,these,Tiny reddish-brown seeds yielded from a raspberry. Sow these in the garden and watch them grow!
raspberriesseedsrecipeitem,.lang,items\lang\english\raspberriesseedsrecipeitem.lang,Raspberries Seeds Recipe,Raspberry Seeds Recipe,the,a,this,Grow red raspberries in your garden with these seeds! Raspberries make for a delightful snack.
ratitem,.lang,items\lang\english\ratitem.lang,Rat,Rat,the,a,this,A scrappy rodent that won't go down without a fight.
redladybugitem,.lang,items\lang\english\redladybugitem.lang,Red Ladybug,Red Ladybug,the,a,this,A pretty little bug with black spots.
redroseitem,.lang,items\lang\english\redroseitem.lang,Red Rose,Red Rose,the,a,this,A gorgeous red flower that symbolizes true love. Give to a cat to let them know you've fallen for them!
redroseseedsitem,.lang,items\lang\english\redroseseedsitem.lang,Red Rose Seeds,Red Rose Seeds,the,a,these,Lightly colored seeds yielded from a red rose. Sow these in the garden and watch them grow!
redroseseedsrecipeitem,.lang,items\lang\english\redroseseedsrecipeitem.lang,Red Rose Seeds Recipe,Red Rose Seeds Recipe,the,a,these,Grow red roses in your garden with these seeds! Symbolic of true love. All cats know what it means to be given one.
redscarfaccessoryitem,.lang,items\lang\english\redscarfaccessoryitem.lang,Red Scarf Accessory,Red Scarf,the,a,this,Now you can be cozy and fashionable at the same time!
robinitem,.lang,items\lang\english\robinitem.lang,Robin,Robin,the,a,this,It's hard to miss the bright red belly.
rockdebrisitem,.lang,items\lang\english\rockdebrisitem.lang,Rock Debris,Rock Debris,the,a,this,A small pile of nearly worthless pebbles.
rosymothitem,.lang,items\lang\english\rosymothitem.lang,Rosy Moth,Rosy Moth,the,a,this,A pleasant pastel prize with a velvety abdomen.
roundglassesaccessoryitem,.lang,items\lang\english\roundglassesaccessoryitem.lang,Round Glasses Accessory,Round Glasses,the,a,these,Small round spectacles to wear on your face.
rubbermatfurnitureitem,.lang,items\lang\english\rubbermatfurnitureitem.lang,Rubber Mat Furniture,Rubber Mat,the,a,this,"A small dark mat made of thin rubber. Great for wiping mud off of your paws, but not much else."
rubyitem,.lang,items\lang\english\rubyitem.lang,Ruby,Ruby,the,a,this,A flawless red gemstone.
salmonitem,.lang,items\lang\english\salmonitem.lang,Salmon,Salmon,the,a,this,This large freshwater fish has a streak of iridescent color along its back.
sapphireitem,.lang,items\lang\english\sapphireitem.lang,Sapphire,Sapphire,the,a,this,A sparkling blue gemstone as vibrant and deep as a clear summer sky.
scallopitem,.lang,items\lang\english\scallopitem.lang,Scallop,Scallop,the,a,this,A small seashell with a pink hue. Smooth to the touch.
seabassitem,.lang,items\lang\english\seabassitem.lang,Sea Bass,Sea Bass,the,a,this,A dark saltwater fish with spiny fins. Tastes... salty.
shaleitem,.lang,items\lang\english\shaleitem.lang,Shale,Shale,the,a,this,"Layers of dark, brittle rock."
shimmercragitem,.lang,items\lang\english\shimmercragitem.lang,Shimmercrag,Shimmercrag,the,a,this,These sparkling jewels are hard to come by. A faint humming noise emanates from the center. What power is contained within?
shinycurioitem,.lang,items\lang\english\shinycurioitem.lang,Shiny Curio,Shiny Curio,the,a,this,"Some shiny material, roughly balled up."
shinytrinketitem,.lang,items\lang\english\shinytrinketitem.lang,Shiny Trinket,Shiny Trinket,the,a,this,A dazzling trinket of human-make. Use this item to propose to the cat that's stolen your heart!
shinytrinketrecipeitem,.lang,items\lang\english\shinytrinketrecipeitem.lang,Shiny Trinket Recipe,Shiny Trinket Recipe,the,a,this,A dazzling trinket of human-make. Use this item to propose to the cat that's stolen your heart!
shrewitem,.lang,items\lang\english\shrewitem.lang,Shrew,Shrew,the,a,this,A plump little shrew with a whiskered snout.
silvercrownaccessoryitem,.lang,items\lang\english\silvercrownaccessoryitem.lang,Silver Crown Accessory,Silver Crown,the,a,this,This elegant crown is made from sturdy metal.
silveroreitem,.lang,items\lang\english\silveroreitem.lang,Silver Ore,Silver Ore,the,a,this,A silver vein runs through this rock and makes it shine.
smallcurioitem,.lang,items\lang\english\smallcurioitem.lang,Small Curio,Small Curio,the,a,this,A strange ceramic object with a hole in the middle.
snakeitem,.lang,items\lang\english\snakeitem.lang,Snake,Snake,the,a,this,A slithering green menace with a forked tongue.
snakelilyfairitem,.lang,items\lang\english\snakelilyfairitem.lang,Snake Lily [Fair],Snake Lily,the,a,this,A noxious purple bloom. Applies a poison effect to your attacks.
snakelilygooditem,.lang,items\lang\english\snakelilygooditem.lang,Snake Lily [Good],Snake Lily,the,a,this,A virulent purple bloom. Applies a poison effect to your attacks.
snakelilypooritem,.lang,items\lang\english\snakelilypooritem.lang,Snake Lily [Poor],Snake Lily,the,a,this,A toxic purple bloom. Applies a poison effect to your attacks.
snakelilyseedsitem,.lang,items\lang\english\snakelilyseedsitem.lang,Snake Lily Seeds,Snake Lily Seeds,the,a,these,Dark pods yielded from a snake lily plant. Sow these in the garden and watch them grow!
snakelilyseedsrecipeitem,.lang,items\lang\english\snakelilyseedsrecipeitem.lang,Snake Lily Seeds Recipe,Snake Lily Seeds Recipe,the,a,this,Grow snake lily in your garden with these seeds! This dangerous plant can be applied to your claws to deal bonus damage.
snowysweateraccessoryitem,.lang,items\lang\english\snowysweateraccessoryitem.lang,Snowy Sweater Accessory,Snowy Sweater,the,a,this,A warm woolly sweater with a snowflake pattern.
softcurioitem,.lang,items\lang\english\softcurioitem.lang,Soft Curio,Soft Curio,the,a,this,A very soft round thing made of cotton.
southerndamselflyitem,.lang,items\lang\english\southerndamselflyitem.lang,Southern Damselfly,Southern Damselfly,the,a,this,"A long, gangly dragonfly with four wide wings."
sparklycurioitem,.lang,items\lang\english\sparklycurioitem.lang,Sparkly Curio,Sparkly Curio,the,a,this,A complex knot tied out of a sparkling ribbon.
sparrowitem,.lang,items\lang\english\sparrowitem.lang,Sparrow,Sparrow,the,a,this,A tiny brown bird with a reddish hue.
sphinxmothitem,.lang,items\lang\english\sphinxmothitem.lang,Sphinx Moth,Sphinx Moth,the,a,this,A fuzzy flying figure that comes out at night.
spideritem,.lang,items\lang\english\spideritem.lang,Spider,Spider,the,a,this,A creepy-crawly creature with eight legs and a drooping mandible.
spikeballitem,.lang,items\lang\english\spikeballitem.lang,Spikeball,Spike,the,a,this,A deadly machine found in the mines.
spikecollaritem,.lang,items\lang\english\spikecollaritem.lang,Spike Collar Accessory,Spike Collar,the,a,this,"If intimidation is the goal, this collar has your back. Are those spikes made of metal, or teeth..?"
spiketrapfurnitureitem,.lang,items\lang\english\spiketrapfurnitureitem.lang,Spike Trap Furniture,Spike Trap,the,a,this,A dangerous contraption that runs all by itself. Handle carefully!
spring1recorditem,.lang,items\lang\english\spring1recorditem.lang,Spring 1 Record,Spring 1,the,a,this,A music disc that you can play at your den record player. This track is a lively springtime tune.
spring2recorditem,.lang,items\lang\english\spring2recorditem.lang,Spring 2 Record,Spring 2,the,a,this,A music disc that you can play at your den record player. This track is a dynamic springtime tune.
spring3recorditem,.lang,items\lang\english\spring3recorditem.lang,Spring 3 Record,Spring 3,the,a,this,A music disc that you can play at your den record player. This track is an energetic springtime tune.
springfestivalrecorditem,.lang,items\lang\english\springfestivalrecorditem.lang,Spring Festival Record,Spring Festival,the,a,this,A music disc that you can play at your den record player. This track is a springtime party tune.
springycurioitem,.lang,items\lang\english\springycurioitem.lang,Springy Curio,Springy Curio,the,a,this,Boing! Boing!
squareglassesaccessoryitem,.lang,items\lang\english\squareglassesaccessoryitem.lang,Square Glasses Accessory,Square Glasses,the,a,these,Large rectangular frames to wear on your face.
squirrelitem,.lang,items\lang\english\squirrelitem.lang,Squirrel,Squirrel,the,a,this,"A juicy squirrel, caught by an expert hunter."
starlingitem,.lang,items\lang\english\starlingitem.lang,Starling,Starling,the,a,this,An iridescent bird with striking star-like dappling.
stoatitem,.lang,items\lang\english\stoatitem.lang,Stoat,Stoat,the,a,this,An aggressive snow-white mammal.
stonedaisfurnitureitem,.lang,items\lang\english\stonedaisfurnitureitem.lang,Stone Dais Furniture,Stone Dais,the,a,this,A low platform made of dusty yellowed stones.
stretchmatfurnitureitem,.lang,items\lang\english\stretchmatfurnitureitem.lang,Stretch Mat Furniture,Stretch Mat,the,a,this,"A long mint-green rubber mat, the perfect spot to do your morning stretching routine. Stay flexible!"
stretchycurioitem,.lang,items\lang\english\stretchycurioitem.lang,Stretchy Curio,Stretchy Curio,the,a,this,A rubbery thing that stretches easily.
stripedsweateraccessoryitem,.lang,items\lang\english\stripedsweateraccessoryitem.lang,Striped Sweater Accessory,Striped Sweater,the,a,this,A fashionable green-and-white striped sweater.
summer1recorditem,.lang,items\lang\english\summer1recorditem.lang,Summer 1 Record,Summer 1,the,a,this,A music disc that you can play at your den record player. This track is a warm summertime tune.
summer2recorditem,.lang,items\lang\english\summer2recorditem.lang,Summer 2 Record,Summer 2,the,a,this,A music disc that you can play at your den record player. This track is a pleasant summertime tune.
summer3recorditem,.lang,items\lang\english\summer3recorditem.lang,Summer 3 Record,Summer 3,the,a,this,A music disc that you can play at your den record player. This track is a sweeping summertime tune.
summerfestivalrecorditem,.lang,items\lang\english\summerfestivalrecorditem.lang,Summer Festival Record,Summer Festival,the,a,this,A music disc that you can play at your den record player. This track is a summertime party tune.
summersweateraccessoryitem,.lang,items\lang\english\summersweateraccessoryitem.lang,Summer Sweater Accessory,Summer Sweater,the,a,this,A bright sweater with an image of the sun emblazoned upon the back.
