file,extension,path,lang_task_title,lang_task_description,lang_task_in_progress_dialog,lang_task_complete_dialog
strangeshroom,.lang,tasks\lang\english\strangeshroom.lang,Strange Shroom,"I need an Amanita. Don't ask questions, just do it.","[neutral]Yeah, I need an [green]Amanita[/green]. They're funny little mushrooms with a spotted cap.///[thinking]No, I don't owe you an explanation. I don't come around asking you questions about everything you do, do I?","[neutral]Eh, it's a little small, but it'll do I guess. Here's some [green]Task Tokens[/green] or whatever."
strongscent,.lang,tasks\lang\english\strongscent.lang,Strong Scent,I have noticed that the voidling cats stay away from the smell of Lavender. We need to harvest as much as we can to set a strong border around our territory.,"[neutral]Find some [green]Lavender[/green]. Shouldn't be too difficult to spot, it's bright purple and it has a very strong scent.///[thinking]It will help us to keep our borders secure. Trust me.","[neutral]Good work, that's enough [green]Lavender[/green] for now. I'll take it off your paws and apply it where it is needed."
takenashine,.lang,tasks\lang\english\takenashine.lang,Taken a Shine,I would be ever so grateful to any cat who can locate some Gold Ore! It seems I've misplaced mine.,"[neutral]You have seen my offer on the Task Board? This is a most excellent development!///[neutral]I am sure that in your capable paws, my [green]Gold Ore[/green] will materialize in no time. I am counting on you, #player_name#!","[neutral]Yes, that looks like [green]Gold Ore[/green] to me! Allow me to appraise its quality...///[neutral]Indeed, this ore must have come from a rich vein. You have outdone yourself, #player_name#. My collection is once again complete!"
thehunt,.lang,tasks\lang\english\thehunt.lang,The Hunt,The hunt is afoot! We can always use more food around town. Can some cat catch a bunch of prey? You can keep what you catch.,"[thinking]It's never a bad thing to have some extra food to go around. If you're up for it, I'll pay some [green]Task Tokens[/green] if you can catch a lot of prey.///[neutral]I'll even let you keep what you catch. What do you say to that?","[neutral]I heard from several of the locals that you've been very busy hunting around the wilderness, #player_name#.///[thinking]We all appreciate your efforts to ensure that there's enough food to go around. Sounds like a job well done to me."
theirony,.lang,tasks\lang\english\theirony.lang,The Irony,"All out of Iron Ore. That's a first. Need someone to go digging for me, I can't leave the forge.","[neutral]Someone's up and walked off with all my [green]Iron Ore[/green]! Was it you, #player_name#?///[neutral]Best not let me catch you if it was. Either way I need more, so get to digging!","[neutral]Hey, that looks like a bundle of [green]Iron Ore[/green], isn't it? Hand it over, and be quick about it!///[neutral]Hmph. Lowest quality [green]Iron Ore[/green] I've ever seen, but it'll do for now."
thisiswar,.lang,tasks\lang\english\thisiswar.lang,This is War,"Scouts report armies of Voidling cats on the move. Our troops are overwhelmed, they are requesting immediate backup.","[angry]Hey, the war is out there! What are you doing standing around?///[thinking]Our troops are in desperate need of a commander to help them rally and you're not with them. Go on, #player_name#, go fight for your #colony_title#!","[playful]Hmph, I just received the latest report from the scouts. Heard you were instrumental in turning the tide of the war.///[happy]You've done well by our troops. Good work out there."
toadtroubles,.lang,tasks\lang\english\toadtroubles.lang,Toad Troubles,I was digging around my storage bin and I realized I'm fresh out of Toads. I need them for a project I'm working on. Can someone help me?,"[neutral]Yes, you are inquiring about my [green]Toads[/green]? I need a few for a project.///[thinking]I have a theory that the warts from a [green]Toad[/green] would mix well with some herbs to create a hair styling cream. Odd, I know. But perhaps it will work? Or perhaps not.///[neutral]Anyways, I don't have any [green]Toads[/green] to experiment with so I need someone to find a few for me. Can you do it?","[shocked]Ah, there's the specimen I requested! How long did it take you to find these creatures?///[playful]Regardless, I will gladly accept them. Good work #player_name#."
towndefense,.lang,tasks\lang\english\towndefense.lang,Town Defense,Those nasty Voidling cats have been getting closer and closer to town. We need someone to stop their advance.,[neutral]Have you noticed? Those Voidling cats are getting closer and closer to town. It's unnerving to say the least.///[thinking]We need someone brave to go out and stop them in their tracks. The security of our #colony_title# depends on it.,"[neutral]You have done a great service to your #colony_title#, #player_name#. You've bought us another day in peace. We are all grateful for your efforts!"
unkindcandles,.lang,tasks\lang\english\unkindcandles.lang,Unkind Candles,"We've got big trouble in the mines! My moles won't even keep mining because they're being attacked by these awful Darkcandles. I need someone to come in and clear them out, alright?",[neutral]All these moles I hired are a bunch of babies. Won't even keep digging now that we hit a pocket of those nasty [red]Darkcandles[/red].///[neutral]Think you can go down there and clear some of them out? Then we can get back on schedule.,"[neutral]Hey, I hear pickaxes moving again. You must have defeated enough of those pesky [red]Darkcandles[/red] to get things moving again.///[neutral]Anyways, here's your [green]Task Tokens[/green]. I'll let you know if we hit another snag like that again in the future."
weaselwoes,.lang,tasks\lang\english\weaselwoes.lang,Weasel Woes,There's been some reports of a Weasel running around the wilderness. We need an expert hunter to track it down and bring it back to town.,"[thinking]The scouts have reported a [green]Weasel[/green] that lives somewhere in the wilderness around town. They couldn't find its den, however.///[neutral]Perhaps you will be more fortunate on your hunt?","[happy]Wow, that's a huge [green]Weasel[/green]! Good work, #player_name#. These creatures are known to be wily and hard to find.///[neutral]I'll let everyone know you found the [green]Weasel[/green]. That makes you the best hunter of us all!"
wingsofautumn,.lang,tasks\lang\english\wingsofautumn.lang,Wings of Autumn,"Those Southern Damselflies sure are cool, aren't they? I want to catch them for my collection but I haven't had much luck. Can someone help me?","[angry]Those [green]Southern Damselflies[/green] are gorgeous bugs, don't you agree? But they're so fast I can't keep up!///[playful]Say, can you catch a few for me? That would be the coolest! I'd owe you big time!","[happy]Hey look, you've got some [green]Southern Damselflies[/green] for me! Yes, I knew you would come through #player_name#!///[playful]I really appreciate your help. I never could have caught this many by myself."
wingsofnight,.lang,tasks\lang\english\wingsofnight.lang,Wings of Night,"Hey, where do you think Fireflies go during the day? I can't find them anywhere! Can some cat catch a couple White Fireflies for me? I can pay in Task Tokens!",[happy]Those [green]White Fireflies[/green] sure do seem to only come out when I'm already too tired to chase them down. Maybe you can catch some for me?,"[happy]Look at how bright these [green]White Fireflies[/green] are! I'll bet they'd make an awesome night light.///[playful]Thanks #player_name#, I owe you one."
wingsofspring,.lang,tasks\lang\english\wingsofspring.lang,Wings of Spring,I can't stop watching the Red Ladybugs flying around! Aren't they pretty? But I need some for my collection before they all disappear!,"[playful]I could watch the [green]Red Ladybugs[/green] fly around for hours! Aren't their spots just the coolest?///[shocked]I'm worried that I won't catch any before they all disappear for the year. Can you help me catch a couple? Thanks, #player_name#!","[shocked]Woah, these are perfect! I'll add them to my collection as soon as I get home. Thanks, #player_name#! You're the coolest!"
wingsofsummer,.lang,tasks\lang\english\wingsofsummer.lang,Wings of Summer,I just love the look of those Painted Butterflies! I already have several but I could use a few more for my collection. Any takers?,"[playful]Hey, I was just on my way to catch a [green]Painted Butterfly[/green] when you ran into me! I heard you were gonna help me out with that, huh?///[happy]Think you can find three of them for me? Thanks #player_name#.","[neutral]Oh wow, those are the three most perfect [green]Painted Butterflies[/green] I've ever seen! I'll have to find a great spot to put these.///[playful]Thanks for your help #player_name#."
wingsofwinter,.lang,tasks\lang\english\wingsofwinter.lang,Wings of Winter,Aren't these Hermit Beetles super cool? I want a couple for my collection before they all go into hiding.,"[playful]I keep chasing the [green]Hermit Beetles[/green] around and around. Where do you think they live? They're always on the move!///[shocked]But when I'm done I forget to actually catch them. Whoops. Think you can help me with that part, #player_name#?","[shocked]Hey, it's those [green]Hermit Beetles[/green], just like I asked for! Thanks #player_name#, you're the best bug hunter ever!"
